Trace started at 2026-09-03:19:09:56.130
19:09:56.154 Initialized COM16 type Radio1
19:09:56.256 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:56.263 Read COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:56.279 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
19:09:56.279 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:56.295 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:56.390 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:56.407 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:09:56.407 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:09:56.423 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:09:56.523 Write COM16: FE-FE-88-00-0F-FD (......)
19:09:56.535 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00-FD (.............)
19:09:56.535 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:09:56.551 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:09:56.551 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:09:56.567 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:09:56.656 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:56.663 Read COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:56.679 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
19:09:56.679 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:56.695 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:56.790 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:56.807 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:09:56.807 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:09:56.823 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:09:56.923 Write COM16: FE-FE-88-00-0F-FD (......)
19:09:56.935 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00-FD (.............)
19:09:56.935 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:09:56.951 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:09:56.951 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:09:56.967 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:09:57.056 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:57.063 Read COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:57.079 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
19:09:57.079 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:57.094 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:57.189 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:57.206 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:09:57.206 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:09:57.223 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:09:57.323 Write COM16: FE-FE-88-00-0F-FD (......)
19:09:57.335 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F-00 (............)
19:09:57.335 Read COM16: FD (.)
19:09:57.335 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:09:57.351 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:09:57.351 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:09:57.366 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21 (....!......!)
19:09:57.366 Read COM16: 00-00-00-00-FD (.....)
19:09:57.457 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:57.462 Read COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:57.479 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
19:09:57.479 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:57.495 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:57.591 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:57.607 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:09:57.607 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:09:57.622 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:09:57.724 Write COM16: FE-FE-88-00-0F-FD (......)
19:09:57.734 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F (...........)
19:09:57.750 Read COM16: 00-FD (..)
19:09:57.750 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:09:57.766 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21 (....!......!)
19:09:57.766 Read COM16: 01-00-FD (...)
19:09:57.766 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:09:57.782 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00 (....!.....)
19:09:57.782 Read COM16: 88-21-00-00-00-00-FD (.!.....)
19:09:57.857 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:57.862 Read COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:57.878 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
19:09:57.878 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:57.895 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:57.991 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:58.006 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:09:58.006 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:09:58.023 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:09:58.124 Write COM16: FE-FE-88-00-0F-FD (......)
19:09:58.134 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F (...........)
19:09:58.150 Read COM16: 00-FD (..)
19:09:58.150 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:09:58.166 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:09:58.166 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:09:58.182 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:09:58.257 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:58.262 Read COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:58.278 Read COM16: FE-FE-00-88-25-00-10-00-27-14-00-FD (....%...'...)
19:09:58.278 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:58.294 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:58.391 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:58.406 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00 (....%......%..)
19:09:58.406 Read COM16: 96-04-07-00-FD (.....)
19:09:58.406 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:09:58.422 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:09:58.524 Write COM16: FE-FE-88-00-0F-FD (......)
19:09:58.534 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88-0F (...........)
19:09:58.550 Read COM16: 00-FD (..)
19:09:58.550 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:09:58.566 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:09:58.566 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:09:58.582 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:09:58.658 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:58.662 Read COM16: FE-FE-88-00-25-00 (....%.)
19:09:58.678 Read COM16: FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (.....%...'...)
19:09:58.678 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:58.694 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:09:58.791 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:09:58.806 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:09:58.806 Write COM16: FE-FE-88-00-26-01-FD (....&..)
